source,target,tgt_lng
Confirmatory Factor Analysis,验证性因子分析,zh
Exploratory Factor Analysis,探索性因子分析,zh
Path Analysis,路径分析,zh
Mediation Effect,中介效应,zh
Moderation Effect,调节效应,zh
Likert Scale,李克特量表,zh
Cronbach's Alpha,克朗巴赫系数,zh
Construct Validity,构念效度,zh
Convergent Validity,收敛效度,zh
Discriminant Validity,区分效度,zh
Common Method Bias,共同方法偏差,zh
Panel Data,面板数据,zh
Cross-sectional Data,截面数据,zh
Longitudinal Study,纵向研究,zh
Case Study,案例研究,zh
Grounded Theory,扎根理论,zh
Meta-analysis,元分析,zh
Systematic Review,系统综述,zh
Endogeneity,内生性,zh
Instrumental Variable,工具变量,zh
Difference-in-Differences,双重差分法,zh
Regression Discontinuity,断点回归,zh
Propensity Score Matching,倾向得分匹配,zh
Fixed Effects Model,固定效应模型,zh
Random Effects Model,随机效应模型,zh
Hierarchical Linear Model,多层线性模型,zh
Survival Analysis,生存分析,zh
Event History Analysis,事件史分析,zh
Hazard Rate,风险率,zh
Social Network Analysis,社会网络分析,zh
Centrality,中心性,zh
Network Density,网络密度,zh
Structural Holes,结构洞,zh
Weak Ties,弱关系,zh
Institutional Theory,制度理论,zh
Isomorphism,同构性,zh
Legitimacy,合法性,zh
Path Dependence,路径依赖,zh
Entrepreneurship,创业,zh
Venture Capital,风险投资,zh
Business Model,商业模式,zh
Platform Economy,平台经济,zh
Digital Transformation,数字化转型,zh
Industry 4.0,工业4.0,zh
Internet of Things,物联网,zh
Big Data Analytics,大数据分析,zh
Business Intelligence,商业智能,zh
Customer Relationship Management,客户关系管理,zh
Enterprise Resource Planning,企业资源规划,zh
Agile Management,敏捷管理,zh
Scrum,敏捷冲刺,zh
Design Thinking,设计思维,zh
Systems Thinking,系统思维,zh
Complexity Theory,复杂性理论,zh
Chaos Theory,混沌理论,zh
Agent-Based Modeling,基于主体的建模,zh
System Dynamics,系统动力学,zh
Feedback Loop,反馈回路,zh
Emergent Behavior,涌现行为,zh
