source,target,tgt_lng
"Approximation Error","近似误差","zh"
"Architecture","架构","zh"
"Area Under ROC Curve","AUC（ROC曲线下方面积，度量分类模型好坏的标准）","zh"
"Arithmetic Coding","算术编码","zh"
"Artificial General Intelligence","通用人工智能","zh"
"Artificial Intelligence","人工智能","zh"
"Artificial Neural Network","人工神经网络","zh"
"Artificial Neuron","人工神经元","zh"
"Association Analysis","关联分析","zh"
"Associative Memory","联想记忆","zh"
"Associative Memory Model","联想记忆模型","zh"
"Asymptotically Unbiased","渐近无偏","zh"
"Asynchronous Stochastic Gradient Descent","异步随机梯度下降","zh"
"Asynchronous","异步","zh"
"Atrous Convolution","空洞卷积","zh"
"Attention","注意力","zh"
"Attention Cue","注意力提示","zh"
"Attention Distribution","注意力分布","zh"
"Attention Mechanism","注意力机制","zh"
"Attention Model","注意力模型","zh"
"Attractor","吸引点","zh"
"Attribute","属性","zh"
"Attribute Conditional Independence Assumption","属性条件独立性假设","zh"
"Attribute Space","属性空间","zh"
"Attribute Value","属性值","zh"
"Augmented Lagrangian","增广拉格朗日法","zh"
"Auto-Regressive Network","自回归网络","zh"
"Autoencoder","自编码器","zh"
"Automatic Differentiation","自动微分","zh"
"Automatic Speech Recognition","自动语音识别","zh"
"Automatic Summarization","自动摘要","zh"
"Autoregressive Generative Model","自回归生成模型","zh"
"Autoregressive Model","自回归模型","zh"
"Autoregressive Process","自回归过程","zh"
"Average Gradient","平均梯度","zh"
"Average Pooling Layer","平均汇聚层","zh"
"Average-Pooling","平均汇聚","zh"
"Averaged Perceptron","平均感知器","zh"
"Back Propagation","反向传播","zh"
"Back Propagation Algorithm","反向传播算法","zh"
"Back Propagation Through Time","随时间反向传播","zh"
"Back-Off","回退","zh"
"Backward","后向","zh"
"Backward Induction","反向归纳","zh"
"Backward Search","反向搜索","zh"
"Bag of Words","词袋","zh"
"Bagging","袋装","zh"
"Bandit","赌博机","zh"
"Bandpass Filter","带通滤波器","zh"
"Base","基","zh"
"Base Classifier","基分类器","zh"
"Base Learner","基学习器","zh"
"Base Learning Algorithm","基学习算法","zh"
"Base Vector","基向量","zh"
"Baseline","基准","zh"
"Basin of Attraction","吸引域","zh"
"Batch","批量","zh"
"Batch Gradient Descent","批量梯度下降法","zh"
"Batch Learning","批量学习","zh"
"Batch Normalization","批量规范化","zh"
"Batch Size","批量大小","zh"
"Baum-Welch Algorithm","Baum-Welch算法","zh"
"Bayes Classifier","贝叶斯分类器","zh"
"Bayes Decision Rule","贝叶斯决策准则","zh"
"Bayes Error","贝叶斯误差","zh"
"Bayes Model Averaging","贝叶斯模型平均","zh"
"Bayes Optimal Classifier","贝叶斯最优分类器","zh"
"Bayes Risk","贝叶斯风险","zh"
"Bayes' Rule","贝叶斯规则","zh"
"Bayes' Theorem","贝叶斯定理","zh"
"Bayesian Decision Theory","贝叶斯决策理论","zh"
"Bayesian Estimation","贝叶斯估计","zh"
"Bayesian Inference","贝叶斯推断","zh"
"Bayesian Learning","贝叶斯学习","zh"
"Bayesian Linear Regression","贝叶斯线性回归","zh"
"Bayesian Network","贝叶斯网","zh"
"Bayesian Optimization","贝叶斯优化","zh"
"Bayesian Probability","贝叶斯概率","zh"
"Bayesian Statistics","贝叶斯统计","zh"
"Beam Search","束搜索","zh"
"Benchmark","基准","zh"
"Belief Network","信念网","zh"
"Belief Propagation","信念传播","zh"
"Bellman Equation","贝尔曼方程","zh"
"Bellman Optimality Equation","贝尔曼最优方程","zh"
"Bernoulli Distribution","伯努利分布","zh"
"Bernoulli Output Distribution","伯努利输出分布","zh"
"Best-Arm Problem","最优臂问题","zh"
"Beta Distribution","贝塔分布","zh"
"Between-Class Scatter Matrix","类间散度矩阵","zh"
"BFGS","BFGS","zh"
"Bi-Directional Long-Short Term Memory","双向长短期记忆","zh"
"Bi-Partition","二分法","zh"
"Bias","偏差","zh"
"Bias In Affine Function","偏置","zh"
"Bias In Statistics","偏差","zh"
"Bias Shift","偏置偏移","zh"
"Bias-Variance Decomposition","偏差 - 方差分解","zh"
"Bias-Variance Dilemma","偏差 - 方差困境","zh"
"Biased","有偏","zh"
"Biased Importance Sampling","有偏重要采样","zh"
"Bidirectional Language Model","双向语言模型","zh"
"Bidirectional Recurrent Neural Network","双向循环神经网络","zh"
"Bigram","二元语法","zh"
"Bilingual Evaluation Understudy","BLEU","zh"
"Binary Classification","二分类","zh"
"Binary Relation","二元关系","zh"
"Binary Sparse Coding","二值稀疏编码","zh"
"Binomial Distribution","二项分布","zh"
"Binomial Logistic Regression Model","二项对数几率回归","zh"
"Binomial Test","二项检验","zh"
"Biological Plausibility","生物学合理性","zh"
"Bit","比特","zh"
"Block","块","zh"
"Block Coordinate Descent","块坐标下降","zh"
"Block Gibbs Sampling","块吉布斯采样","zh"
"Boilerplate Code","样板代码","zh"
"Boltzmann","玻尔兹曼","zh"
"Boltzmann Distribution","玻尔兹曼分布","zh"
"Boltzmann Factor","玻尔兹曼因子","zh"
"Boltzmann Machine","玻尔兹曼机","zh"
"Boosting","Boosting（一种模型训练加速方式）","zh"
"Boosting Tree","提升树","zh"
"Bootstrap Aggregating","Bagging","zh"
"Bootstrap Sampling","自助采样法","zh"
"Bootstrapping","自助法","zh"
"Bottleneck Layer","瓶颈层","zh"
"Bottom-Up","自下而上","zh"
"Bounding Boxes","边界框","zh"
"Break-Event Point","平衡点","zh"
"Bridge Sampling","桥式采样","zh"
"Broadcasting","广播","zh"
"Broyden's Algorithm","Broyden类算法","zh"
"Bucketing","分桶","zh"
"Burn-In Period","预烧期","zh"
"Burning-In","磨合","zh"
"Calculus","微积分","zh"
"Calculus of Variations","变分法","zh"
"Calibration","校准","zh"
"Canonical","正则的","zh"
"Canonical Correlation Analysis","典型相关分析","zh"
"Capacity","容量","zh"
"Cartesian Coordinate","笛卡尔坐标","zh"
"Cascade","级联","zh"
"Cascade-Correlation","级联相关","zh"
"Catastrophic Forgetting","灾难性遗忘","zh"
"Categorical Attribute","分类属性","zh"
"Categorical Distribution","类别分布","zh"
"Causal Factor","因果因子","zh"
"Causal Modeling","因果模型","zh"
"Cell","单元","zh"
"Centered Difference","中心差分","zh"
"Central Limit Theorem","中心极限定理","zh"
"Chain Rule","链式法则","zh"
"Channel","通道","zh"
"Chaos","混沌","zh"
"Chebyshev Distance","切比雪夫距离","zh"
"Chord","弦","zh"
"Chordal Graph","弦图","zh"
"City Block Distance","街区距离","zh"
"Class","类别","zh"
"Class Label","类标记","zh"
"Class-Conditional Probability","类条件概率","zh"
"Class-Imbalance","类别不平衡","zh"
"Classification","分类","zh"
"Classification And Regression Tree","分类与回归树","zh"
"Classifier","分类器","zh"
"Clip Gradient","梯度截断","zh"
"Clipping The Gradient","截断梯度","zh"
"Clique","团","zh"
"Clique Potential","团势能","zh"
"Clockwork RNN","时钟循环神经网络","zh"
"Closed Form Solution","闭式解","zh"
"Closed-Form","闭式","zh"
"Cluster","簇","zh"
"Cluster Analysis","聚类分析","zh"
"Cluster Assumption","聚类假设","zh"
"Clustering","聚类","zh"
"Clustering Ensemble","聚类集成","zh"
"Co-Adapting","共适应","zh"
"Co-Occurrence","共现","zh"
"Co-Occurrence Frequency","共现词频","zh"
"Co-Training","协同训练","zh"
"Code","编码","zh"
"Codebook Learning","码书学习","zh"
"Coding Matrix","编码矩阵","zh"
"Collaborative Filtering","协同过滤","zh"
"Collapsed Gibbs Sampling","收缩的吉布斯抽样","zh"
"Collinearity","共线性","zh"
"COLT","国际学习理论会议","zh"
"Column","列","zh"
"Column Space","列空间","zh"
"Combinatorial Optimization","组合优化","zh"
"Committee-Based Learning","基于委员会的学习","zh"
"Common Cause","共因","zh"
"Common Parent","同父","zh"
"Compact Singular Value Decomposition","紧奇异值分解","zh"
"Competitive Learning","竞争型学习","zh"
"Complementary Slackness","互补松弛","zh"
"Complete Graph","完全图","zh"
"Complete Linkage","完全连接","zh"
"Complete-Data","完全数据","zh"
"Complex Cell","复杂细胞","zh"
"Component Learner","组件学习器","zh"
"Compositionality","组合性","zh"
"Comprehensibility","可解释性","zh"
"Computation Cost","计算代价","zh"
"Computation Graph","计算图","zh"
"Computational Learning Theory","计算学习理论","zh"
"Computational Linguistics","计算语言学","zh"
"Computer Vision","计算机视觉","zh"
"Concatenate","连结","zh"
"Concept Class","概念类","zh"
"Concept Drift","概念漂移","zh"
"Concept Learning System","概念学习系统","zh"
"Concept Shift","概念偏移","zh"
"Conditional Computation","条件计算","zh"
"Conditional Entropy","条件熵","zh"
"Conditional Independence","条件独立","zh"
"Conditional Language Model","条件语言模型","zh"
"Conditional Mutual Information","条件互信息","zh"
"Conditional Probability","条件概率","zh"
"Conditional Probability Density Function","条件概率密度函数","zh"
"Conditional Probability Distribution","条件概率分布","zh"
"Conditional Probability Table","条件概率表","zh"
"Conditional Random Field","条件随机场","zh"
"Conditional Risk","条件风险","zh"
"Conditionally Independent","条件独立的","zh"
"Conference On Neural Information Processing Systems","国际神经信息处理系统会议","zh"
"Confidence","置信度","zh"
"Conflict Resolution","冲突消解","zh"
"Confusion Matrix","混淆矩阵","zh"
"Conjugate","共轭","zh"
"Conjugate Directions","共轭方向","zh"
"Conjugate Distribution","共轭分布","zh"
"Conjugate Gradient","共轭梯度","zh"
"Conjugate Prior","共轭先验","zh"
"Connection Weight","连接权","zh"
"Connectionism","连接主义","zh"
"Consistency","一致性","zh"
"Consistency Convergence","一致性收敛","zh"
"Constrained Optimization","约束优化","zh"
"Content-Addressable Memory","基于内容寻址的存储","zh"
"Context Variable","上下文变量","zh"
"Context Vector","上下文向量","zh"
"Context Window","上下文窗口","zh"
"Context Word","上下文词","zh"
"Context-Specific Independences","特定上下文独立","zh"
"Contextual Bandit","上下文赌博机","zh"
"Contextualized Representation","基于上下文的表示","zh"
"Contingency Table","列联表","zh"
"Continous Bag-Of-Words Model","连续词袋模型","zh"
"Continuation Method","延拓法","zh"
"Continuing Task","持续式任务","zh"
"Continuous Attribute","连续属性","zh"
"Continuous Learning","持续学习","zh"
"Continuous Optimization","连续优化","zh"
"Contractive","收缩","zh"
"Contractive Autoencoder","收缩自编码器","zh"
"Contractive Neural Network","收缩神经网络","zh"
"Contrastive Divergence","对比散度","zh"
"Controller","控制器","zh"
"Convergence","收敛","zh"
"Conversational Agent","会话智能体","zh"
"Convex Optimization","凸优化","zh"
"Convex Quadratic Programming","凸二次规划","zh"
"Convex Set","凸集","zh"
"Convexity","凸性","zh"
"Convolution","卷积","zh"
"Convolutional Boltzmann Machine","卷积玻尔兹曼机","zh"
"Convolutional Deep Belief Network","卷积深度信念网络","zh"
"Convolutional Kernel","卷积核","zh"
"Convolutional Network","卷积网络","zh"
"Convolutional Neural Network","卷积神经网络","zh"
"Coordinate","坐标","zh"
"Coordinate Ascent","坐标上升","zh"
"Coordinate Descent","坐标下降","zh"
"Coparent","共父","zh"
"Corpus","语料库","zh"
"Correlation","相关系数","zh"
"Correlation Coefficient","相关系数","zh"
"Cosine","余弦","zh"
"Cosine Decay","余弦衰减","zh"
"Cosine Similarity","余弦相似度","zh"
"Cost","代价","zh"
"Cost Curve","代价曲线","zh"
"Cost Function","代价函数","zh"
"Cost Matrix","代价矩阵","zh"
"Cost-Sensitive","代价敏感","zh"
"Covariance","协方差","zh"
"Covariance Matrix","协方差矩阵","zh"
"Covariance RBM","协方差RBM","zh"
"Covariate Shift","协变量偏移","zh"
"Coverage","覆盖","zh"
"Credit Assignment Problem","贡献度分配问题","zh"
"Criterion","准则","zh"
"Critic","评论员","zh"
"Critic Network","评价网络","zh"
"Critical Point","临界点","zh"
"Critical Temperatures","临界温度","zh"
"Cross Correlation","互相关","zh"
"Cross Entropy","交叉熵","zh"
"Cross Validation","交叉验证","zh"
"Cross-Entropy Loss Function","交叉熵损失函数","zh"
"Crowdsourcing","众包","zh"
"Cumulative Distribution Function","累积分布函数","zh"
"Cumulative Function","累积函数","zh"
"Curriculum Learning","课程学习","zh"
"Curse of Dimensionality","维数灾难","zh"
"Curvature","曲率","zh"
"Curve-Fitting","曲线拟合","zh"
"Cut Point","截断点","zh"
"Cutting Plane Algorithm","割平面法","zh"
"Cybernetics","控制论","zh"
"Cyclic Learning Rate","循环学习率","zh"
"Damping","衰减","zh"
"Damping Factor","阻尼因子","zh"
"Data","数据","zh"
"Data Augmentation","数据增强","zh"
"Data Generating Distribution","数据生成分布","zh"
"Data Generating Process","数据生成过程","zh"
"Data Instance","数据样本","zh"
"Data Mining","数据挖掘","zh"
"Data Parallelism","数据并行","zh"
"Data Point","数据点","zh"
"Data Preprocessing","数据预处理","zh"
"Data Set","数据集","zh"
"Data Wrangling","数据整理","zh"
"Dataset Augmentation","数据集增强","zh"
"Davidon-Fletcher-Powell","DFP","zh"
"Debugging Strategy","调试策略","zh"
"Decision Boundary","决策边界","zh"
"Decision Function","决策函数","zh"
"Decision Stump","决策树桩","zh"
"Decision Surface","决策平面","zh"
"Decision Tree","决策树","zh"
"Decoder","解码器","zh"
"Decoding","解码","zh"
"Decompose","分解","zh"
"Deconvolution","反卷积","zh"
"Deconvolutional Network","反卷积网络","zh"
"Deduction","演绎","zh"
"Deep Belief Network","深度信念网络","zh"
"Deep Boltzmann Machine","深度玻尔兹曼机","zh"
"Deep Circuit","深度回路","zh"
"Deep Convolutional Generative Adversarial Network","深度卷积生成对抗网络","zh"
"Deep Feedforward Network","深度前馈网络","zh"
"Deep Generative Model","深度生成模型","zh"
"Deep Learning","深度学习","zh"
"Deep Model","深度模型","zh"
"Deep Network","深度网络","zh"
"Deep Neural Network","深度神经网络","zh"
"Deep Q-Learning","深度 Q 学习","zh"
"Deep Q-Network","深度Q网络","zh"
"Deep Reinforcement Learning","深度强化学习","zh"
"Deep Sequence Model","深度序列模型","zh"
"Default Rule","默认规则","zh"
"Definite Integral","定积分","zh"
"Degree Of Belief","信任度","zh"
"Delta-Bar-Delta","Delta-Bar-Delta","zh"
"Denoising","去噪","zh"
"Denoising Autoencoder","去噪自编码器","zh"
"Denoising Score Matching","去躁分数匹配","zh"
"Denominator Layout","分母布局","zh"
"Dense","稠密","zh"
"Density Estimation","密度估计","zh"
"Density-Based Clustering","密度聚类","zh"
"Dependency","依赖","zh"
"Depth","深度","zh"
"Derivative","导数","zh"
"Description","描述","zh"
"Design Matrix","设计矩阵","zh"
"Detailed Balance","细致平衡","zh"
"Detailed Balance Equation","细致平衡方程","zh"
"Detector Stage","探测级","zh"
"Determinant","行列式","zh"
"Deterministic","确定性","zh"
"Deterministic Model","确定性模型","zh"
"Deterministic Policy","确定性策略","zh"
"Development Set","开发集","zh"
"Diagonal Matrix","对角矩阵","zh"
"Diameter","直径","zh"
"Dictionary","字典","zh"
"Dictionary Learning","字典学习","zh"
"Differentiable Function","可微函数","zh"
"Differentiable Neural Computer","可微分神经计算机","zh"
"Differential Entropy","微分熵","zh"
"Differential Equation","微分方程","zh"
"Differentiation","微分","zh"
"Dilated Convolution","膨胀卷积","zh"
"Dimension","维度","zh"
"Dimension Reduction","降维","zh"
"Dimensionality Reduction Algorithm","降维算法","zh"
"Dirac Delta Function","Dirac Delta函数","zh"
"Dirac Distribution","Dirac分布","zh"
"Directed","有向","zh"
"Directed Acyclic Graph","有向非循环图","zh"
"Directed Edge","有向边","zh"
"Directed Graph","有向图","zh"
"Directed Graphical Model","有向图模型","zh"
"Directed Model","有向模型","zh"
"Directed Separation","有向分离","zh"
"Directional Derivative","方向导数","zh"
"Dirichlet Distribution","狄利克雷分布","zh"
"Disagreement Measure","不合度量","zh"
"Disagreement-Based Methods","基于分歧的方法","zh"
"Discount Factor","衰减系数","zh"
"Discounted Return","折扣回报","zh"
"Discrete Optimization","离散优化","zh"
"Discriminant Function","判别函数","zh"
"Discriminative Approach","判别方法","zh"
"Discriminative Model","判别式模型","zh"
"Discriminative RBM","判别RBM","zh"
"Discriminator","判别器","zh"
"Discriminator Network","判别网络","zh"
"Distance","距离","zh"
"Distance Measure","距离度量","zh"
"Distance Metric Learning","距离度量学习","zh"
"Distributed Representation","分布式表示","zh"
"Distribution","分布","zh"
"Diverge","发散","zh"
"Divergence","散度","zh"
"Diversity","多样性","zh"
"Diversity Measure","多样性度量","zh"
"Divide-And-Conquer","分而治之","zh"
"Divisive","分裂","zh"
"Domain","领域","zh"
"Domain Adaptation","领域自适应","zh"
"Dominant Eigenvalue","主特征值","zh"
"Dominant Eigenvector","主特征向量","zh"
"Dominant Strategy","占优策略","zh"
"Dot Product","点积","zh"
"Double Backprop","双反向传播","zh"
"Doubly Block Circulant Matrix","双重分块循环矩阵","zh"
"Down Sampling","下采样","zh"
"Downstream Task","下游任务","zh"
"Dropout","暂退法","zh"
"Dropout Boosting","暂退Boosting","zh"
"Dropout Mask","暂退掩码","zh"
"Dropout Method","暂退法","zh"
"Dual Algorithm","对偶算法","zh"
"Dual Problem","对偶问题","zh"
"Dummy Node","哑结点","zh"
"Dying ReLU Problem","死亡ReLU问题","zh"
"Dynamic Bayesian Network","动态贝叶斯网络","zh"
"Dynamic Computational Graph","动态计算图","zh"
"Dynamic Fusion","动态融合","zh"
"Dynamic Programming","动态规划","zh"
"Dynamic Structure","动态结构","zh"
"Dynamical System","动力系统","zh"
"Eager Learning","急切学习","zh"
"Early Stopping","早停","zh"
"Earth-Mover's Distance","推土机距离","zh"
"Echo State Network","回声状态网络","zh"
"Edge","边","zh"
"Edge Device","边缘设备","zh"
"Effective Capacity","有效容量","zh"
"Eigendecomposition","特征分解","zh"
"Eigenvalue","特征值","zh"
"Eigenvalue Decomposition","特征值分解","zh"
"Elastic Net Regularization","弹性网络正则化","zh"
"Elastic Weight Consolidation","弹性权重巩固","zh"
"Element-Wise Product","逐元素积","zh"
"Elementary Basis Vectors","基本单位向量","zh"
"Ellipsoid Method","椭球法","zh"
"Embedding","嵌入","zh"
"Embedding Lookup Table","嵌入表","zh"
"Emotional Analysis","情绪分析","zh"
"Empirical Conditional Entropy","经验条件熵","zh"
"Empirical Distribution","经验分布","zh"
"Empirical Entropy","经验熵","zh"
"Empirical Error","经验误差","zh"
"Empirical Frequency","经验频率","zh"
"Empirical Loss","经验损失","zh"
"Empirical Risk","经验风险","zh"
"Empirical Risk Minimization","经验风险最小化","zh"
"Encoder","编码器","zh"
"Encoder-Decoder","编码器-解码器（模型）","zh"
"Encoding","编码","zh"
"End-To-End","端到端","zh"
"End-To-End Learning","端到端学习","zh"
"End-To-End Memory Network","端到端记忆网络","zh"
"Energy Function","能量函数","zh"
"Energy Gap","能量差异","zh"
"Energy-Based Model","基于能量的模型","zh"
"Ensemble","集成","zh"
"Ensemble Learning","集成学习","zh"
"Ensemble Pruning","集成修剪","zh"
"Entropy","熵","zh"
"Entropy Encoding","熵编码","zh"
"Environment","环境","zh"
"Episode","回合","zh"
"Episodic Task","回合式任务","zh"
"Epoch","轮","zh"
"Equal-Width Convolution","等宽卷积","zh"
"Equality Constraint","等式约束","zh"
"Equilibrium Distribution","均衡分布","zh"
"Equivariance","等变","zh"
"Equivariant Representations","等变表示","zh"
"Error","误差","zh"
"Error Backpropagation Algorithm","误差反向传播算法","zh"
"Error Backpropagation","误差反向传播","zh"
"Error Bar","误差条","zh"
"Error Correcting Output Codes","纠错输出编码","zh"
"Error Function","误差函数","zh"
"Error Metric","误差度量","zh"
"Error Rate","错误率","zh"
"Error-Ambiguity Decomposition","误差－分歧分解","zh"
"Estimation Error","估计误差","zh"
"Estimation Of Mathematical Expectation","数学期望估计","zh"
"Estimator","估计","zh"
"Euclidean Distance","欧氏距离","zh"
"Euclidean Norm","欧几里得范数","zh"
"Euclidean Space","欧氏空间","zh"
"Euler-Lagrange Equation","欧拉-拉格朗日方程","zh"
"Evaluation Criterion","评价准则","zh"
"Evidence","证据","zh"
"Evidence Lower Bound","证据下界","zh"
"Evolution","演化","zh"
"Evolutionary Computation","演化计算","zh"
"Exact","确切的","zh"
"Exact Inference","精确推断","zh"
"Example","样例","zh"
"Excess Error","额外误差","zh"
"Exchangeable","可交换的","zh"
"Expectation","期望","zh"
"Expectation Maximization Algorithm","期望极大算法","zh"
"Expectation Maximization","期望最大化","zh"
"Expectation Step","E步","zh"
"Expected Error","期望错误","zh"
"Expected Loss","期望损失","zh"
"Expected Return","期望回报","zh"
"Expected Risk","期望风险","zh"
"Expected Value","期望值","zh"
"Experience","经验","zh"
"Experience Replay","经验回放","zh"
"Expert Network","专家网络","zh"
"Expert System","专家系统","zh"
"Explaining Away","相消解释","zh"
"Explaining Away Effect","相消解释作用","zh"
"Explanatory Factort","解释因子","zh"
"Explicit Density Model","显式密度模型","zh"
"Exploding Gradient","梯度爆炸","zh"
"Exploitation","利用","zh"
"Exploration","探索","zh"
"Exploration-Exploitation Dilemma","探索-利用窘境","zh"
"Exponential Decay","指数衰减","zh"
"Exponential Distribution","指数分布","zh"
"Exponential Linear Unit","指数线性单元","zh"
"Exponential Loss","指数损失","zh"
"Exponential Loss Function","指数损失函数","zh"
"Exponentially Weighted Moving Average","指数加权移动平均","zh"
"Exposure Bias","曝光偏差","zh"
"External Memory","外部记忆","zh"
"Extreme Learning Machine","超限学习机","zh"
"F Measure","F值","zh"
"F-Score","F分数","zh"
"Factor","因子","zh"
"Factor Analysis","因子分析","zh"
"Factor Graph","因子图","zh"
"Factor Loading","因子负荷量","zh"
"Factorization","因子分解","zh"
"Factorized","分解的","zh"
"Factors of Variation","变差因素","zh"
"False Negative","假负例","zh"
"False Positive","假正例","zh"
"False Positive Rate","假正例率","zh"
"Fast Dropout","快速暂退法","zh"
"Fast Persistent Contrastive Divergence","快速持续性对比散度","zh"
"Fault-Tolerant Asynchronous Training","容错异步训练","zh"
"Feasible","可行","zh"
"Feature","特征","zh"
"Feature Engineering","特征工程","zh"
"Feature Extraction","特征抽取","zh"
"Feature Extractor","特征提取器","zh"
"Feature Function","特征函数","zh"
"Feature Map","特征图","zh"
"Feature Scaling Transform","特征尺度变换","zh"
"Feature Selection","特征选择","zh"
"Feature Space","特征空间","zh"
"Feature Vector","特征向量","zh"
"Featured Learning","特征学习","zh"
"Feedback","反馈","zh"
"Feedforward","前馈","zh"
"Feedforward Classifier","前馈分类器","zh"
"Feedforward Network","前馈网络","zh"
"Feedforward Neural Network","前馈神经网络","zh"
"Few-Shot Learning","少试学习","zh"
"Fidelity","逼真度","zh"
"Field Programmable Gated Array","现场可编程门阵列","zh"
"Filter","滤波器","zh"
"Filter Method","过滤式方法","zh"
"Fine-Tuning","微调","zh"
"Finite Difference","有限差分","zh"
"First Layer","第一层","zh"
"First-Order Method","一阶方法","zh"
"First-Order Rule","一阶规则","zh"
"Fisher Information Matrix","Fisher信息矩阵","zh"
"Fixed Point Equation","不动点方程","zh"
"Fixed-Point Arithmetic","不动点运算","zh"
"Flat Minima","平坦最小值","zh"
"Flip","翻转","zh"
"Flipping Output","翻转法","zh"
"Float-Point Arithmetic","浮点运算","zh"
"Fluctuation","振荡","zh"
"Focus Attention","聚焦式注意力","zh"
"Folk Theorem","无名氏定理","zh"
"Forget Gate","遗忘门","zh"
"Forward","前向","zh"
"Forward KL Divergence","前向KL散度","zh"
"Forward Mode Accumulation","前向模式累加","zh"
"Forward Propagation","前向传播","zh"
"Forward Search","前向搜索","zh"
"Forward Stagewise Algorithm","前向分步算法","zh"
"Forward-Backward Algorithm","前向-后向算法","zh"
"Fourier Transform","傅立叶变换","zh"
"Fovea","中央凹","zh"
"Fractionally Strided Convolution","微步卷积","zh"
"Free Energy","自由能","zh"
"Frequentist","频率主义学派","zh"
"Frequentist Probability","频率派概率","zh"
"Frequentist Statistics","频率派统计","zh"
"Frobenius Norm","Frobenius 范数","zh"
"Full","全","zh"
"Full Conditional Distribution","满条件分布","zh"
"Full Conditional Probability","全条件概率","zh"
"Full Padding","全填充","zh"
"Full Singular Value Decomposition","完全奇异值分解","zh"
"Full-Rank Matrix","满秩矩阵","zh"
"Fully Connected Layer","全连接层","zh"
"Fully Connected Neural Network","全连接神经网络","zh"
"Fully Convolutional Network","全卷积网络","zh"
"Function","函数","zh"
"Functional","泛函","zh"
"Functional Derivative","泛函导数","zh"
"Functional Margin","函数间隔","zh"
"Functional Neuron","功能神经元","zh"
"Gabor Function","Gabor函数","zh"
"Gain Ratio","増益率","zh"
"Game Payoff","博弈效用","zh"
"Game Theory","博弈论","zh"
"Gamma Distribution","Gamma分布","zh"
"Gate","门","zh"
"Gate Controlled RNN","门控循环神经网络","zh"
"Gated","门控","zh"
"Gated Control","门控","zh"
"Gated Recurrent Net","门控循环网络","zh"
"Gated Recurrent Unit","门控循环单元","zh"
"Gated RNN","门控RNN","zh"
"Gater","选通器","zh"
"Gating Mechanism","门控机制","zh"
"Gaussian Distribution","高斯分布","zh"
"Gaussian Error Linear Unit","高斯误差线性单元","zh"
"Gaussian Kernel","高斯核","zh"
"Gaussian Kernel Function","高斯核函数","zh"
"Gaussian Mixture Model","高斯混合模型","zh"
"Gaussian Mixtures","高斯混合（模型）","zh"
"Gaussian Output Distribution","高斯输出分布","zh"
"Gaussian Process","高斯过程","zh"
"Gaussian Process Regression","高斯过程回归","zh"
"Gaussian RBM","高斯RBM","zh"
"Gaussian-Bernoulli RBM","高斯-伯努利RBM","zh"
"General Problem Solving","通用问题求解","zh"
"General Purpose GPU","通用GPU","zh"
"Generalization Ability","泛化能力","zh"
"Generalization Error","泛化误差","zh"
"Generalization Error Bound","泛化误差上界","zh"
"Generalize","泛化","zh"
"Generalized Bregman Divergence","一般化 Bregman 散度","zh"
"Generalized Expectation Maximization","广义期望极大","zh"
"Generalized Function","广义函数","zh"
"Generalized Lagrange Function","广义拉格朗日函数","zh"
